jour,ID_sejour_1km,deb_H,fin_H,dur_min,longitude,latitude,motif
2018-01-30,6,2018-01-30 09:00:54,2018-01-30 09:13:05,12.1833333333333,2.092198462023,49.0638693466664,Other
2018-01-30,5,2018-01-30 09:22:28,2018-01-30 09:28:47,6.31666666666667,2.07830662576725,49.0378721609232,Other
2018-01-30,9,2018-01-30 09:54:45,2018-01-30 10:14:40,19.9166666666667,2.21440281163618,48.9000595513691,Other
2018-01-30,11,2018-01-30 10:14:40,2018-01-30 11:28:15,73.5833333333333,2.4112058005792,48.8533381364675,Other
2018-01-30,20,2018-01-30 11:28:15,2018-01-30 16:04:41,276.433333333333,2.42029211993037,48.8542310917312,Other
2018-01-30,27,2018-01-30 16:04:41,2018-01-30 19:27:51,203.166666666667,2.32625726763219,48.8758439822061,Second
2018-01-30,1,2018-01-30 20:07:15,2018-01-30 23:59:59,232.733333333333,2.09337306062367,49.0491961469411,Home
2018-01-31,1,2018-01-31 00:00:00,2018-01-31 02:37:09,157.15,2.09337306062367,49.0491961469411,Home
2018-01-31,17,2018-01-31 02:37:09,2018-01-31 09:01:01,383.866666666667,2.10186933209355,49.0446675431525,Other
2018-01-31,56,2018-01-31 09:35:47,2018-01-31 09:50:56,15.15,2.31669844013473,48.9136123116801,Other
2018-01-31,2,2018-01-31 09:55:29,2018-01-31 11:52:22,116.883333333333,2.27035031171526,48.8830194609522,Other
2018-01-31,36,2018-01-31 11:52:22,2018-01-31 13:40:51,108.483333333333,2.27989617493156,48.8821253306007,Other
2018-01-31,39,2018-01-31 13:45:59,2018-01-31 15:01:21,75.3666666666667,2.3085342645029,48.874941760232,Other
2018-01-31,27,2018-01-31 15:01:21,2018-01-31 16:36:28,95.1166666666667,2.32625726763219,48.8758439822061,Second
2018-01-31,49,2018-01-31 16:36:28,2018-01-31 16:59:07,22.65,2.25524193604754,48.9495561242578,Other
2018-01-31,1,2018-01-31 16:59:07,2018-01-31 23:59:59,420.866666666667,2.09337306062367,49.0491961469411,Home
2018-02-01,1,2018-02-01 00:00:00,2018-02-01 08:29:53,509.883333333333,2.09337306062367,49.0491961469411,Home
2018-02-01,33,2018-02-01 08:29:53,2018-02-01 08:47:57,18.0666666666667,2.08679764031173,49.0493568571584,Other
2018-02-01,6,2018-02-01 08:47:57,2018-02-01 09:09:19,21.3666666666667,2.092198462023,49.0638693466664,Other
2018-02-01,50,2018-02-01 09:09:19,2018-02-01 09:31:13,21.9,1.76962854731098,49.1478224835111,Other
2018-02-01,1,2018-02-01 19:57:48,2018-02-01 23:59:59,242.183333333333,2.09337306062367,49.0491961469411,Home
2018-02-02,1,2018-02-02 00:00:00,2018-02-02 06:23:55,383.916666666667,2.09337306062367,49.0491961469411,Home
2018-02-02,8,2018-02-02 06:23:55,2018-02-02 14:22:31,478.6,2.07980888689095,49.0778934906042,Other
2018-02-02,4,2018-02-02 14:28:34,2018-02-02 14:31:35,3.01666666666667,2.09224457095987,49.0545394659461,Other
2018-02-02,1,2018-02-02 14:37:38,2018-02-02 15:08:31,30.8833333333333,2.09337306062367,49.0491961469411,Home
2018-02-02,33,2018-02-02 15:08:31,2018-02-02 15:28:19,19.8,2.08679764031173,49.0493568571584,Other
2018-02-04,38,2018-02-04 17:53:29,2018-02-04 19:23:16,89.7833333333333,3.14508599977795,48.8415073188242,Other
2018-02-04,37,2018-02-04 19:23:16,2018-02-04 20:53:03,89.7833333333333,3.1505647047063,48.8432670304173,Other
2018-02-04,1,2018-02-04 22:47:56,2018-02-04 23:59:59,72.05,2.09337306062367,49.0491961469411,Home
2018-02-10,1,2018-02-10 03:08:11,2018-02-10 18:15:28,907.283333333333,2.09337306062367,49.0491961469411,Home
2018-02-10,4,2018-02-10 18:15:28,2018-02-10 19:05:34,50.1,2.09224457095987,49.0545394659461,Other
2018-02-10,3,2018-02-10 19:08:35,2018-02-10 19:57:35,49,2.0899491825975,49.0575321311812,Other
2018-02-10,6,2018-02-10 19:57:35,2018-02-10 23:59:59,242.4,2.092198462023,49.0638693466664,Other
